,title,language,original,stars
53,jcreinhold/synthtorch,Python,"synthtorch






This package contains deep neural network-based (pytorch) modules to synthesize magnetic resonance (MR) and computed
tomography (CT) brain images. Synthesis is the procedure of learning the transformation that takes a specific contrast image to another estimate contrast.
For example, given a set of T1-weighted (T1-w) and T2-weighted (T2-w) images, we can learn the function that maps the intensities of the
T1-w image to match that of the T2-w image via a UNet or other deep neural network architecture. In this package, we supply
the framework and several models for this type of synthesis. See the Relevant Papers section (at the bottom of
the README) for a non-exhaustive list of some papers relevant to the work in this package.
We also support a non-DNN-based synthesis package called synthit.
There is also a seperate package to gather quality metrics of the synthesis result called synthqc.
** Note that this is an alpha release. If you have feedback or problems, please submit an issue (it is very appreciated) **
This package was developed by Jacob Reinhold and the other students and researchers of the
Image Analysis and Communication Lab (IACL).
Link to main Gitlab Repository
Requirements

matplotlib
nibabel >= 2.3.1
niftidataset >= 0.1.4
numpy >= 1.15.4
pillow >= 5.3.0
torch >= 1.0.0
torchvision >= 0.2.1

Installation
pip install git+git://github.com/jcreinhold/synthtorch.git

Tutorial
5 minute Overview
Jupyter Notebook example
In addition to the above small tutorial and example notebook, there is consolidated documentation here.
Singularity
You can build a singularity image from the docker image hosted on dockerhub or through singularity-hub via the following command:
singularity pull shub://jcreinhold/synthtorch:latest

Test Package
Unit tests can be run from the main directory as follows:
nosetests -v tests

Citation
If you use the synthtorch package in an academic paper, please use the following citation:
@misc{reinhold2019,
    author       = {Jacob Reinhold},
    title        = {{synthtorch}},
    year         = 2019,
    doi          = {10.5281/zenodo.2669612},
    version      = {0.3.2},
    publisher    = {Zenodo},
    url          = {https://doi.org/10.5281/zenodo.2669612}
}

Relevant Papers
[1] C. Zhao, A. Carass, J. Lee, Y. He, and J. L. Prince, “Whole Brain Segmentation and Labeling from CT Using Synthetic MR Images,” in MICCAI MLMI, vol. 10541, pp. 291–298, 2017.
",6
54,gocd/gocd,Java,"GoCD

This is the main repository for GoCD - a continuous delivery server. GoCD helps you automate and streamline the build-test-release cycle for worry-free, continuous delivery of your product.
To quickly build your first pipeline while learning key GoCD concepts, visit our Intro to GoCD guide.
Development Setup
This is a Java/JRuby on Rails project. Here is the guide to setup your development environment.
Contributing
We'd love it if you contributed to GoCD. For information on contributing to this project, please see our contributor's guide.
A lot of useful information like links to user documentation, design documentation, mailing lists etc. can be found in the resources section.
License
GoCD is an open source project, sponsored by ThoughtWorks Inc. under the Apache License, Version 2.0.
",4904
55,mulesoft/mule-esb-maven-tools,Java,"Mule ESB Maven Tools
The Mule ESB Maven Tools allow the development of Mule applications based on Maven tooling. This kit includes archetypes for building regular Mule applications, Mule domains and Mule domain bundles.
Maven Configuration
For it to work you need to add some entries to your settings.xml file.
First, add a new profile with the following repositories and pluginRepositories:
 <profiles>
     ...
     <profile>
        <id>mule-extra-repos</id>
        <activation>
            <activeByDefault>true</activeByDefault>
        </activation>
        <repositories>
            <repository>
                <id>mule-public</id>
                <url> https://repository.mulesoft.org/nexus/content/repositories/public </url>
            </repository>
        </repositories>
        <pluginRepositories>
            <pluginRepository>
                <id>mule-public</id>
                <url> https://repository.mulesoft.org/nexus/content/repositories/public </url>
            </pluginRepository>
        </pluginRepositories>
     </profile>
     ...
 </profiles>

Finally, as a pluginGroup you should add:
 <pluginGroups>
    ...
    <pluginGroup>org.mule.tools</pluginGroup>
    ...
 </pluginGroups>

Once you have your app or domain you can use -Dmule.home to specify the path to your Mule instance where they should be installed. Alternatively, $MULE_HOME will be used.
Creating a Mule Application
Creating a mule application using the mule archetype project is extremely easy. Just invoke it as follows:
 mvn archetype:generate -DarchetypeGroupId=org.mule.tools.maven -DarchetypeArtifactId=maven-archetype-mule-app \
-DarchetypeVersion=1.1 -DgroupId=org.mycompany.app -DartifactId=mule-app -Dversion=1.0-SNAPSHOT \
-DmuleVersion=3.7.0 -Dpackage=org.mycompany.app -Dtransports=http,jms,vm,file,ftp -Dmodules=db,xml,jersey,json,ws

In case you want your application to belong to a mule domain then you can add the domain specification parameters:
 mvn archetype:generate -DarchetypeGroupId=org.mule.tools.maven -DarchetypeArtifactId=maven-archetype-mule-app \
-DarchetypeVersion=1.1 -DgroupId=org.mycompany.app -DartifactId=mule-app -Dversion=1.0-SNAPSHOT \
-DmuleVersion=3.7.0 -Dpackage=org.mycompany.app -Dtransports=http,jms,vm,file,ftp -Dmodules=db,xml,jersey,json,ws \
-DdomainGroupId=org.mycompany.domain -DdomainArtifactId=mule-domain -DdomainVersion=1.0-SNAPSHOT

Archetype Parameters:



parameter
description
default




archetypeGroupId
The group Id of the archetype
This value must ALWAYS by org.mule.tools.maven


archetypeArtifactId
The artifact Id of the archetype
This value must ALWAYS mule-archetype-project


archetypeVersion
The version of the archetype. This value can change as we release new versions of the archetype. Always use the latest non-SNAPSHOT version available.



groupId
The group Id of the application you are creating. A good value would be the reverse name of your company domain name, like: com.mycompany.app or org.mycompany.app



artifactId
The artifact Id of the application you are creating.



version
The version of your application. Usually 1.0-SNAPSHOT.
1.0-SNAPSHOT


muleVersion
The version of the mule runtime you are going to use. Mule 2.2.x is no longer supported
3.7.0


transports
A comma separated list of the transport you are going to use within your application.
http,jms,vm,file,ftp


modules
A comma separated list of the modules you are going to use within your application.
db,xml,jersey,json,ws


EE
A flag to import the EE counterpart of the transports/modules you are using.
false


domainGroupId
The group Id of the domain that applications belongs to.
empty


domainArtifactId
The artifact Id of the domain that applications belongs to.
empty


domainVersion
The version of the domain that applications belongs to.
empty



Creating a Mule Domain
A mule application can belong to a domain group. The domain allows sharing of resources such as connectors or libraries between applications.
To create a domain execute:
 mvn archetype:generate -DarchetypeGroupId=org.mule.tools.maven -DarchetypeArtifactId=maven-archetype-mule-domain \
-DarchetypeVersion=1.1 -DgroupId=org.mycompany.domain -DartifactId=mule-domain -Dversion=1.0-SNAPSHOT \
-Dpackage=org.mycompany.domain

Archetype Parameters:



parameter
description
default




archetypeGroupId
The group Id of the archetype
This value must ALWAYS by org.mule.tools.maven


archetypeArtifactId
The artifact Id of the archetype
This value must ALWAYS by maven-archetype-mule-domain


archetypeVersion
The version of the archetype. This value can change as we release new versions of the archetype. Always use the latest non-SNAPSHOT version available.



groupId
The group Id of the domain you are creating. A good value would be the reverse name of your company domain name, like: com.mycompany.domain or org.mycompany.domain



artifactId
The artifact Id of the domain you are creating.



version
The version of your application. Usually 1.0-SNAPSHOT. Your domain name, when deployed to mule, will be artifactId-version
1.0-SNAPSHOT


EE
A flag to import the EE counterpart of the domain namespace.
false



Create a Complete Mule Domain Project
Several mule applications will make use of a particular mule domain for sharing resources. So it make perfect sense to aggregate all the applications and
the domain in a single project.
To create a maven project with the domain and all the applications that will be deployed using that domain you can use the mule domain bundle archetype:
 mvn archetype:generate -DarchetypeGroupId=org.mule.tools.maven -DarchetypeArtifactId=maven-archetype-mule-domain-bundle \
-DarchetypeVersion=1.1 -DgroupId=com.mycompany -DartifactId=mule-project -Dversion=1.0-SNAPSHOT \
-Dpackage=com.mycompany

This command will create a maven multi-module project with the following modules:

domain: This project is exactly as any project created with mule domain archetype. The artifact id for this project is ${artifactId}-domain. In this case would be mule-api-domain.
apps: This project is a bundle project for the mule applications that belong to this domain. Create here the mule applications using the mule applications archetype.
domain-bundle: This project is creates a bundle artifact with the domain plus the applications. This bundle project can be deployed as any domain and will also deploy the domain applications.

If you're using the EE distribution, you should add the EE flag:
 mvn archetype:generate -DarchetypeGroupId=org.mule.tools.maven -DarchetypeArtifactId=maven-archetype-mule-domain-bundle \
-DarchetypeVersion=1.1 -DgroupId=com.mycompany -DartifactId=mule-project -Dversion=1.0-SNAPSHOT \
-Dpackage=com.mycompany -DEE=true




parameter
description
default




archetypeGroupId
The group Id of the archetype
This value must ALWAYS by org.mule.tools.maven


archetypeArtifactId
The artifact Id of the archetype
This value must ALWAYS by maven-archetype-mule-domain-bundle


archetypeVersion
The version of the archetype. This value can change as we release new versions of the archetype. Always use the latest non-SNAPSHOT version available.



groupId
The group Id of the domain bundle project you are creating. A good value would be the reverse name of your company domain name, like: com.mycompany or org.mycompany



artifactId
The artifact Id of the domain bundle you are creating. Try to not include the domain word in it.



version
The version of your domain bundle. Usually 1.0-SNAPSHOT. Your domain name, when deployed to mule, will be artifactId-version
1.0-SNAPSHOT


package
Required by maven archetype but not used.



EE
A flag to import the EE counterpart of the domain namespace.
false



",11
56,fsprojects/Fabulous,F#,"F# Functional App Development, using Elmish and Xamarin.Forms
   
Never write a ViewModel class again! Conquer the world with clean dynamic UIs!
This library allows you to use the ultra-simple Model-View-Update architecture to build applications for iOS, Android, Mac, WPF and more. It is a variation of elmish, an Elm architecture implemented in F#. Elmish was originally written for Fable applications, however it is used here for applications using Xamarin.Forms.


Getting started


Documentation Guide


Roadmap


Contributor guide


Release Notes


Contributing
Please contribute to this library through issue reports, pull requests, code reviews and discussion.
Credits
This library is inspired by Elmish.WPF, Elmish.Forms and elmish, written by et1975. This project technically has no tie to Fable, which is an F# to JavaScript transpiler that is great.
",356
57,dotnet/docs.zh-tw,PowerShell,".NET Docs
此存放庫包含 .NET 的概念文件。 .NET 文件網站使用了多個存放庫作為建置基礎，但不包括：

程式碼範例及程式碼片段
API 參考
.NET Compiler Platform SDK 參考

這三個存放庫的問題及工作會在此處追蹤。 這些資源的使用者眾多。 我們會盡可能地即時回應各項問題。 請參閱我們的問題原則主題，了解更多有關於我們如何分類及解決問題的程序。
歡迎您參與協助我們改進及完成 .NET 文件。若要參與，請參閱 .NET 社群參與者專案進行了解。 參與指南包含所用程序的指示。 除此之外，您也可以查看問題清單，從中尋找您關注的工作。
我們期望 Xamarin、Mono 及 Unity 也能使用此文件。
此專案採納了 Contributor Covenant 定義的行為守則來規範社群中的行為。
如需詳細資訊，請參閱 .NET Foundation Code of Conduct (.NET Foundation 行為守則)。
",21
58,litespeedtech/ls-cloud-image,Shell,"ls-cloud-image
Build Your Own Image
To build free, high-performance WordPress, Cyberpanel, etc. images:

Choose the Long Term Support version for the base image, e.g. Ubuntu 18.04. and launch it
Install setup script
Install a launch script
Build Image
Test functionality (Optional)

More details
Launch an Existing Image
Look here if you are interested in launching existing images from popular cloud platforms
",2
59,ConAntares/Algorithms,Python,"Algorithms







Repository for Algorithms.
Julia is the main Language.
Thank you for visiting.
My QQ Group: 436192270
",3
60,cloudfoundry/buildpacks-ci,HTML,"Introduction
This contains the configuration for the Cloud Foundry Buildpacks team Concourse deployment.
Pipelines

dependency-builds: build binaries for Cloud Foundry buildpacks
buildpacks: test and release all of the buildpacks
edge-shared: deploy CF Deployment environment
brats: run BRATS against the master branch of buildpacks
buildpack-verification: generate static site for buildpack verification
buildpacks-ci: testing tasks for correct usage, rebuild CI docker images
cf-release: deployment of latest buildpacks to
cf-release develop
gems-and-extensions: gems and extensions that support buildpack development and deployment
notifications: monitor upstream sources for
changes and notify on Slack
cflinuxfs2: test and release Cloud Foundry cflinuxfs2

Concourse State
Jobs and tasks in the buildpacks-ci repository store state in public-buildpacks-ci-robots. See repository README for details.
Commands and recipes
Updating all the Pipelines
./bin/update-pipelines
Debugging the build
fly intercept -j $JOB_NAME -t task -n $TASK_NAME
Clearing the git resources
fly intercept -c $RESOURCE_NAME rm -rf /tmp/git-resource-repo-cache
To build a new version of a binary


Check out the binary-builds branch


Edit the YAML file appropriate for the build (e.g. ruby-builds.yml)


Find the version number and package SHA256 of the new binary. For many binaries, the project website provides the SHA256 along with the release (for example, jruby.org/download provides the SHA256 along with each JRuby release). For others (such as Godep), you download the .tar.gz file and run shasum -a 256 <tar_file> to obtain the SHA256.


Add any number of versions and their checksums to the array, e.g.
ruby:
- version: 2.2.2
  sha256: 5ffc0f317e429e6b29d4a98ac521c3ce65481bfd22a8cf845fa02a7b113d9b44


git commit -am 'Build ruby 2.2.2' && git push


Build should automatically kick off at
https://buildpacks.ci.cf-app.com/pipelines/binary-builder and silently
upload a binary to the pivotal-buildpacks bucket under
dependencies/,
e.g. https://pivotal-buildpacks.s3.amazonaws.com/dependencies/ruby/ruby-2.2.2-linux-x64.tgz
Note that the array is a stack, which will be emptied as the build
succeeds in packaging successive versions.
Running the Test Suite
If you are running the full test suite, some of the integration tests are dependent on the Lastpass CLI and correctly targeting the fly CLI.
To login to the Lastpass CLI:
lpass login $USERNAME
You will then be prompted for your Lastpass password and Google Authenticator Code.
To login to the Fly CLI and target the buildpacks CI:
fly -t buildpacks login
You will be prompted to select either the Github or Basic Auth authentication methods.
After these are set up, you will be able to run the test suite via:
rspec
Making Changes to Build Scripts
When you want to change how a binary gets built, there are two places you may need to make changes. All binaries are built by the dependency-builds pipeline, and you may need to change the task that builds them. For many binaries, the dependency-builds pipeline runs recipes from the binary-builder repo; for those binaries, you will usually need to change the recipe rather than the concourse task.
For the list of currently supported binaries, check out our dependency-builds pipeline.
The concourse task that orchestrates the building is buildpacks-ci/tasks/build-binary-new/builder.rb; many of the recipes are in binary-builder.
To test these changes locally, you can execute the concourse task for it, but point to local changes. For instance:
$ cd buildpacks-ci
$ STACK=cflinuxfs2 fly -t buildpacks e -c tasks/build-binary-new/build.yml -j dependency-builds/build-r-3.4.X -i buildpacks-ci=.

For binaries that use recipes in binary-builder, you can also test in Docker. For instance:
$ docker run -w /binary-builder -v `pwd`:/binary-builder -it cloudfoundry/cflinuxfs2:ruby-2.2.4 ./bin/binary-builder --name=ruby --version=2.2.3 --md5=150a5efc5f5d8a8011f30aa2594a7654
$ ls
ruby-2.2.3-linux-x64.tgz

Buildpack Repositories Guide
buildpacks-ci pipelines and tasks refer to many other repositories. These repos are where the buildpack team and others develop buildpacks and related artifacts.
Officially-supported Buildpacks
Each officially-supported buildpack has a develop and a master branch.
Active development happens on develop. Despite our best efforts, develop will sometimes be unstable and is not production-ready.
Our release branch is master. This is stable and only updated with new buildpack releases.

binary-buildpack
go-buildpack
nodejs-buildpack
php-buildpack
python-buildpack
ruby-buildpack
dotnet-core-buildpack
staticfile-buildpack

Tooling for Development and Runtime

buildpack-packager   Builds cached and uncached buildpacks
machete           Buildpack integration testing framework.
compile-extensions Suite of utility scripts used in buildpacks at runtime
libbuildpack Library used for writing buildpacks in Golang
binary-builder           Builds binaries against specified rootfs
cflinuxfs2 Tooling to build cflinuxfs2 root file system (""rootfs"") for CF
brats Buildpack Runtime Acceptance Test Suite, a collection of smoke tests

BOSH Releases
BOSH releases are used in the assembly of cf-release.

cflinuxfs2-release
go-buildpack-release
ruby-buildpack-release
python-buildpack-release
php-buildpack-release
nodejs-buildpack-release
staticfile-buildpack-release
binary-buildpack-release
java-offline-buildpack-release
java-buildpack-release
dotnet-core-buildpack-release

Experimental or unsupported
Buildpacks
These buildpacks are possible candidates for promotion, or experimental architecture explorations.

hwc-buildpack
hwc-buildpack-release

Tools

concourse-filter Redacts credentials from Concourse logs
new_version_resource Concourse resource to track dependency versions by scraping webpages

Private Repos
Some repositories are private for historical or security reasons. We list them for completeness.

deployments-buildpacks See repository README.
buildpacks-ci-robots See repository README.
cflinuxfs2-nc See repository README.
cflinuxfs2-nc-release See repository README.

",33
61,Xeverous/filter_spirit,C++,"Filter Spirit
Advanced item filter generator for Path of Exile that uses it's own DSL and online item price APIs. Basically a separate pseudo-programming language that lets you write item filters using item price data from poe.ninja or poe.watch available at generation time. Create multiple filter variants and refresh whenever you want to always be up to date with market prices.
The project is under construction, message /u/Xeverous on reddit or Xeverous#2151 on Discord if you are interested in it's early development or have any questions/suggestions/whatever. You can also open an issue.
documentation and tutorial
Browse doc directory. Files are in Markdown so you can read them online on GitHub.
Note that the tool is in its early development so things may chage. Suggestions welcome.
overview
Core features:

static typing safety
generation-time error checking
language elements dedicated to elimination of code duplication:

ability to define constants: const red = RGB(255, 0, 0)
statements work top-down like in regular filters but they can be nested to inherit conditions and override actions


dynamic rules: BaseType $divination(10, 100) pulls data from API to list div cards worth 10-100c at generation time, refresh whenever you want - your filter is always up-to-date with market prices
support for filter variants (eg color-blind, strict, uber-strict, Animate Weapon support etc) - generate multiple filters with different flavours from a single source file

There are 2 intended usage scenarios:

Someone writes a filter using Filer Spirit templates and publishes generated variants that are ready to be immediately loaded by the game client.
Someone writes a filter template and shares it to other people who have downloaded Filter Spirit - they can:

(re)generate actual filter any time, making it always up to date with market prices
edit the config to tweak generated variants
edit the source to change styles (eg colors, sounds)
edit the source to change filter structure



example code
There is a full example filter template source in the repository although the syntax is a subject to change.
const color_white  = RGB(255, 255, 255, 255)
const color_hammer = RGB(162,  85,   0) # (default opacity)

BaseType [""Gavel"", ""Stone Hammer"", ""Rock Breaker""] {
	SetTextColor color_white
	SetBackgroundColor color_hammer
	# above BaseType conditon will be inherited by all nested blocks
	# above actions will be inherited and can be overriden by nested blocks

	Rarity normal {
		Show # show normal hammers
	}

	Rarity magic
	Quality >= 12 {
		Show # show magic hammers with 12+ quality
	}

	Rarity rare
	Quality >= 16 {
		Show # show rare hammers with 16+ quality
	}

	# hide any other hammers
	# actually discouraged as you might lose RGB recipe material for later blocks
	Hide
}

Class ""Divination Card"" {
	SetTextColor color_divination

	# cards that you always want to pickup
	BaseType [""The Void"", ""The Cartographer"", ""Chaotic Disposition""] {
		SetAlertSound alert_divination_stack_1
		SetBeam beam_divination
		Show
	}

	# 100c+
	BaseType $divination(100, 999999) {
		SetTextColor color_black
		SetBorderColor color_divination
		SetBackgroundColor color_divination
		SetFontSize font_max
		SetAlertSound alert_divination_best
		SetBeam beam_divination
		SetMinimapIcon MinimapIcon(0, blue, square)
		Show
	}

	# 10 - 100c
	BaseType $divination(10, 100) {
		SetBorderColor color_divination
		SetFontSize font_mid_divinaton
		SetAlertSound alert_divination_mid
		SetBeam beam_divination
		SetMinimapIcon MinimapIcon(1, blue, square)
		Show
	}

	# if you really hate these cards
	BaseType [""Rain of Chaos"", ""Carrion Crow""] {
		Hide
	}
}

build dependencies

C++17 compiler (<filesystem> not required)
Boost 1.70 OR older with Spirit headers updated to 1.70; this project uses:

spirit (using bleeding-edge X3 parser)
fusion
optional
variant
program_options
date_time
beast
asio
system
unit_test_framework (only if you build tests)


nlohmann/json
OpenSSL (preferably 1.1)

bolded dependencies require linking, all dependencies are exposed as targets in CMake script
building
standard CMake based build
mkdir build
cd build
cmake .. -DCMAKE_BUILD_TYPE=Release [your_options...]

If you are using make don't forget to add -j (parallel jobs) to add 100% increased build speed per additional core.
licensing
LICENSE file in the main directory of the repository applies to any file, unless otherwise specified.
Contact me if you are interested in work on or using this project but need or require a more permissive license.
",2
62,dotnet/docs.zh-tw,PowerShell,".NET Docs
此存放庫包含 .NET 的概念文件。 .NET 文件網站使用了多個存放庫作為建置基礎，但不包括：

程式碼範例及程式碼片段
API 參考
.NET Compiler Platform SDK 參考

這三個存放庫的問題及工作會在此處追蹤。 這些資源的使用者眾多。 我們會盡可能地即時回應各項問題。 請參閱我們的問題原則主題，了解更多有關於我們如何分類及解決問題的程序。
歡迎您參與協助我們改進及完成 .NET 文件。若要參與，請參閱 .NET 社群參與者專案進行了解。 參與指南包含所用程序的指示。 除此之外，您也可以查看問題清單，從中尋找您關注的工作。
我們期望 Xamarin、Mono 及 Unity 也能使用此文件。
此專案採納了 Contributor Covenant 定義的行為守則來規範社群中的行為。
如需詳細資訊，請參閱 .NET Foundation Code of Conduct (.NET Foundation 行為守則)。
",21
63,litespeedtech/ls-cloud-image,Shell,"ls-cloud-image
Build Your Own Image
To build free, high-performance WordPress, Cyberpanel, etc. images:

Choose the Long Term Support version for the base image, e.g. Ubuntu 18.04. and launch it
Install setup script
Install a launch script
Build Image
Test functionality (Optional)

More details
Launch an Existing Image
Look here if you are interested in launching existing images from popular cloud platforms
",2
64,ConAntares/Algorithms,Python,"Algorithms







Repository for Algorithms.
Julia is the main Language.
Thank you for visiting.
My QQ Group: 436192270
",3
65,cloudfoundry/buildpacks-ci,HTML,"Introduction
This contains the configuration for the Cloud Foundry Buildpacks team Concourse deployment.
Pipelines

dependency-builds: build binaries for Cloud Foundry buildpacks
buildpacks: test and release all of the buildpacks
edge-shared: deploy CF Deployment environment
brats: run BRATS against the master branch of buildpacks
buildpack-verification: generate static site for buildpack verification
buildpacks-ci: testing tasks for correct usage, rebuild CI docker images
cf-release: deployment of latest buildpacks to
cf-release develop
gems-and-extensions: gems and extensions that support buildpack development and deployment
notifications: monitor upstream sources for
changes and notify on Slack
cflinuxfs2: test and release Cloud Foundry cflinuxfs2

Concourse State
Jobs and tasks in the buildpacks-ci repository store state in public-buildpacks-ci-robots. See repository README for details.
Commands and recipes
Updating all the Pipelines
./bin/update-pipelines
Debugging the build
fly intercept -j $JOB_NAME -t task -n $TASK_NAME
Clearing the git resources
fly intercept -c $RESOURCE_NAME rm -rf /tmp/git-resource-repo-cache
To build a new version of a binary


Check out the binary-builds branch


Edit the YAML file appropriate for the build (e.g. ruby-builds.yml)


Find the version number and package SHA256 of the new binary. For many binaries, the project website provides the SHA256 along with the release (for example, jruby.org/download provides the SHA256 along with each JRuby release). For others (such as Godep), you download the .tar.gz file and run shasum -a 256 <tar_file> to obtain the SHA256.


Add any number of versions and their checksums to the array, e.g.
ruby:
- version: 2.2.2
  sha256: 5ffc0f317e429e6b29d4a98ac521c3ce65481bfd22a8cf845fa02a7b113d9b44


git commit -am 'Build ruby 2.2.2' && git push


Build should automatically kick off at
https://buildpacks.ci.cf-app.com/pipelines/binary-builder and silently
upload a binary to the pivotal-buildpacks bucket under
dependencies/,
e.g. https://pivotal-buildpacks.s3.amazonaws.com/dependencies/ruby/ruby-2.2.2-linux-x64.tgz
Note that the array is a stack, which will be emptied as the build
succeeds in packaging successive versions.
Running the Test Suite
If you are running the full test suite, some of the integration tests are dependent on the Lastpass CLI and correctly targeting the fly CLI.
To login to the Lastpass CLI:
lpass login $USERNAME
You will then be prompted for your Lastpass password and Google Authenticator Code.
To login to the Fly CLI and target the buildpacks CI:
fly -t buildpacks login
You will be prompted to select either the Github or Basic Auth authentication methods.
After these are set up, you will be able to run the test suite via:
rspec
Making Changes to Build Scripts
When you want to change how a binary gets built, there are two places you may need to make changes. All binaries are built by the dependency-builds pipeline, and you may need to change the task that builds them. For many binaries, the dependency-builds pipeline runs recipes from the binary-builder repo; for those binaries, you will usually need to change the recipe rather than the concourse task.
For the list of currently supported binaries, check out our dependency-builds pipeline.
The concourse task that orchestrates the building is buildpacks-ci/tasks/build-binary-new/builder.rb; many of the recipes are in binary-builder.
To test these changes locally, you can execute the concourse task for it, but point to local changes. For instance:
$ cd buildpacks-ci
$ STACK=cflinuxfs2 fly -t buildpacks e -c tasks/build-binary-new/build.yml -j dependency-builds/build-r-3.4.X -i buildpacks-ci=.

For binaries that use recipes in binary-builder, you can also test in Docker. For instance:
$ docker run -w /binary-builder -v `pwd`:/binary-builder -it cloudfoundry/cflinuxfs2:ruby-2.2.4 ./bin/binary-builder --name=ruby --version=2.2.3 --md5=150a5efc5f5d8a8011f30aa2594a7654
$ ls
ruby-2.2.3-linux-x64.tgz

Buildpack Repositories Guide
buildpacks-ci pipelines and tasks refer to many other repositories. These repos are where the buildpack team and others develop buildpacks and related artifacts.
Officially-supported Buildpacks
Each officially-supported buildpack has a develop and a master branch.
Active development happens on develop. Despite our best efforts, develop will sometimes be unstable and is not production-ready.
Our release branch is master. This is stable and only updated with new buildpack releases.

binary-buildpack
go-buildpack
nodejs-buildpack
php-buildpack
python-buildpack
ruby-buildpack
dotnet-core-buildpack
staticfile-buildpack

Tooling for Development and Runtime

buildpack-packager   Builds cached and uncached buildpacks
machete           Buildpack integration testing framework.
compile-extensions Suite of utility scripts used in buildpacks at runtime
libbuildpack Library used for writing buildpacks in Golang
binary-builder           Builds binaries against specified rootfs
cflinuxfs2 Tooling to build cflinuxfs2 root file system (""rootfs"") for CF
brats Buildpack Runtime Acceptance Test Suite, a collection of smoke tests

BOSH Releases
BOSH releases are used in the assembly of cf-release.

cflinuxfs2-release
go-buildpack-release
ruby-buildpack-release
python-buildpack-release
php-buildpack-release
nodejs-buildpack-release
staticfile-buildpack-release
binary-buildpack-release
java-offline-buildpack-release
java-buildpack-release
dotnet-core-buildpack-release

Experimental or unsupported
Buildpacks
These buildpacks are possible candidates for promotion, or experimental architecture explorations.

hwc-buildpack
hwc-buildpack-release

Tools

concourse-filter Redacts credentials from Concourse logs
new_version_resource Concourse resource to track dependency versions by scraping webpages

Private Repos
Some repositories are private for historical or security reasons. We list them for completeness.

deployments-buildpacks See repository README.
buildpacks-ci-robots See repository README.
cflinuxfs2-nc See repository README.
cflinuxfs2-nc-release See repository README.

",33
